system,scenario,d_target_m,sigma_total_m,expected_fraction
FG01,optimistic,0.005,0.000503275,0.279556
FG01,as_designed,0.005,0.00200727,0.209308
FG01,degraded,0.005,0.0189997,0.00840433
Laser,optimistic,0.005,0.242613,5.30897e-05
Laser,as_stated_requirement,0.005,1.57131,1.26568e-06
Laser,degraded_uncorrected,0.005,6.96451,6.44271e-08
FG01,optimistic,0.01,0.000503275,0.730599
FG01,as_designed,0.01,0.00200727,0.609133
FG01,degraded,0.01,0.0189997,0.0331959
Laser,optimistic,0.01,0.242613,0.000212342
Laser,as_stated_requirement,0.01,1.57131,5.06271e-06
Laser,degraded_uncorrected,0.01,6.96451,2.57708e-07
FG01,optimistic,0.02,0.000503275,0.994733
FG01,as_designed,0.02,0.00200727,0.976659
FG01,degraded,0.02,0.0189997,0.126317
Laser,optimistic,0.02,0.242613,0.000849097
Laser,as_stated_requirement,0.02,1.57131,2.02507e-05
Laser,degraded_uncorrected,0.02,6.96452,1.03083e-06
FG01,optimistic,0.05,0.000503275,1
FG01,as_designed,0.05,0.00200727,1
FG01,degraded,0.05,0.0189997,0.570006
Laser,optimistic,0.05,0.242613,0.00529504
Laser,as_stated_requirement,0.05,1.57131,0.00012656
Laser,degraded_uncorrected,0.05,6.96456,6.44261e-06
FG01,optimistic,0.1,0.000503275,1
FG01,as_designed,0.1,0.00200727,1
FG01,degraded,0.1,0.0189997,0.965814
Laser,optimistic,0.1,0.242613,0.0210125
Laser,as_stated_requirement,0.1,1.57131,0.000506144
Laser,degraded_uncorrected,0.1,6.96469,2.57692e-05
