scenario,d_target_m,n_pulses,p_hit_single,p_all_n_hit
optimistic,0.005,1,5.30897e-05,5.30897e-05
optimistic,0.005,2,5.30897e-05,2.81852e-09
optimistic,0.005,3,5.30897e-05,1.49634e-13
optimistic,0.005,5,5.30897e-05,4.21746e-22
optimistic,0.005,10,5.30897e-05,1.7787e-43
optimistic,0.01,1,0.000212342,0.000212342
optimistic,0.01,2,0.000212342,4.50891e-08
optimistic,0.01,3,0.000212342,9.5743e-12
optimistic,0.01,5,0.000212342,4.31696e-19
optimistic,0.01,10,0.000212342,1.86362e-37
optimistic,0.02,1,0.000849097,0.000849097
optimistic,0.02,2,0.000849097,7.20966e-07
optimistic,0.02,3,0.000849097,6.1217e-10
optimistic,0.02,5,0.000849097,4.41354e-16
optimistic,0.02,10,0.000849097,1.94793e-31
optimistic,0.05,1,0.00529504,0.00529504
optimistic,0.05,2,0.00529504,2.80375e-05
optimistic,0.05,3,0.00529504,1.4846e-07
optimistic,0.05,5,0.00529504,4.16243e-12
optimistic,0.05,10,0.00529504,1.73259e-23
optimistic,0.1,1,0.0210125,0.0210125
optimistic,0.1,2,0.0210125,0.000441527
optimistic,0.1,3,0.0210125,9.2776e-06
optimistic,0.1,5,0.0210125,4.09631e-09
optimistic,0.1,10,0.0210125,1.67797e-17
as_stated_requirement,0.005,1,1.26568e-06,1.26568e-06
as_stated_requirement,0.005,2,1.26568e-06,1.60195e-12
as_stated_requirement,0.005,3,1.26568e-06,2.02755e-18
as_stated_requirement,0.005,5,1.26568e-06,3.24803e-30
as_stated_requirement,0.005,10,1.26568e-06,1.05497e-59
as_stated_requirement,0.01,1,5.06271e-06,5.06271e-06
as_stated_requirement,0.01,2,5.06271e-06,2.5631e-11
as_stated_requirement,0.01,3,5.06271e-06,1.29763e-16
as_stated_requirement,0.01,5,5.06271e-06,3.32595e-27
as_stated_requirement,0.01,10,5.06271e-06,1.10619e-53
as_stated_requirement,0.02,1,2.02507e-05,2.02507e-05
as_stated_requirement,0.02,2,2.02507e-05,4.1009e-10
as_stated_requirement,0.02,3,2.02507e-05,8.30461e-15
as_stated_requirement,0.02,5,2.02507e-05,3.40564e-24
as_stated_requirement,0.02,10,2.02507e-05,1.15984e-47
as_stated_requirement,0.05,1,0.00012656,0.00012656
as_stated_requirement,0.05,2,0.00012656,1.60175e-08
as_stated_requirement,0.05,3,0.00012656,2.02717e-12
as_stated_requirement,0.05,5,0.00012656,3.24701e-20
as_stated_requirement,0.05,10,0.00012656,1.05431e-39
as_stated_requirement,0.1,1,0.000506144,0.000506144
as_stated_requirement,0.1,2,0.000506144,2.56182e-07
as_stated_requirement,0.1,3,0.000506144,1.29665e-10
as_stated_requirement,0.1,5,0.000506144,3.32178e-17
as_stated_requirement,0.1,10,0.000506144,1.10342e-33
degraded_uncorrected,0.005,1,6.44271e-08,6.44271e-08
degraded_uncorrected,0.005,2,6.44271e-08,4.15085e-15
degraded_uncorrected,0.005,3,6.44271e-08,2.67427e-22
degraded_uncorrected,0.005,5,6.44271e-08,1.11005e-36
degraded_uncorrected,0.005,10,6.44271e-08,1.23221e-72
degraded_uncorrected,0.01,1,2.57708e-07,2.57708e-07
degraded_uncorrected,0.01,2,2.57708e-07,6.64135e-14
degraded_uncorrected,0.01,3,2.57708e-07,1.71153e-20
degraded_uncorrected,0.01,5,2.57708e-07,1.13669e-33
degraded_uncorrected,0.01,10,2.57708e-07,1.29206e-66
degraded_uncorrected,0.02,1,1.03083e-06,1.03083e-06
degraded_uncorrected,0.02,2,1.03083e-06,1.06261e-12
degraded_uncorrected,0.02,3,1.03083e-06,1.09537e-18
degraded_uncorrected,0.02,5,1.03083e-06,1.16396e-30
degraded_uncorrected,0.02,10,1.03083e-06,1.3548e-60
degraded_uncorrected,0.05,1,6.44261e-06,6.44261e-06
degraded_uncorrected,0.05,2,6.44261e-06,4.15072e-11
degraded_uncorrected,0.05,3,6.44261e-06,2.67414e-16
degraded_uncorrected,0.05,5,6.44261e-06,1.10996e-26
degraded_uncorrected,0.05,10,6.44261e-06,1.23202e-52
degraded_uncorrected,0.1,1,2.57692e-05,2.57692e-05
degraded_uncorrected,0.1,2,2.57692e-05,6.64051e-10
degraded_uncorrected,0.1,3,2.57692e-05,1.7112e-14
degraded_uncorrected,0.1,5,2.57692e-05,1.13633e-23
degraded_uncorrected,0.1,10,2.57692e-05,1.29124e-46
